paper_id,title,abstract
s2orc_0,Walking through doorways causes forgetting: recall,"ABSTRACTThe aim of the current study was to explore how the location updating effect is affected when people are tested using recall rather than recognition, which is what has been done in prior work. Differences in the memory processes involved with these two tasks lead to predictions for two different patterns of data. In Experiment 1, memory was tested by having participants recall the single object they were carrying or had just put down, whereas in Experiment 2, people sometimes needed to recall both objects. It was found that, unlike recognition test performance, a similar location updating effect was found for both Associated (what was currently being carried) and Dissociated (what was recently set down) objects. Moreover, when both objects were correctly recalled, there was a bias to remember them in the order that they were encountered. Finally, if only one object was correctly recalled, it was the Associated object that was currently being carried. Overall, these results are consistent with the ..."
s2orc_1,In situ characterization of thermo-responsive poly(N-isopropylacrylamide) films with sum-frequency generation spectroscopy.,"The thermo-responsive behaviour of thiol modified poly(N-isopropylacrylamide) (pNIPAM) films immobilized on gold are probed by in situ broadband sum-frequency generation (SFG) spectroscopy. The pNIPAM films were prepared by atom transfer radical polymerization (ATRP) using a nitro-biphenyl-thiol (NBT)-SAM on a polycrystalline gold surface as a substrate. Additionally, Raman and infrared reflection absorption spectroscopy (IRRAS) are applied to spin-coated pNIPAM films. Molecular groups involved in the reorientation and disordering of the polymer chains during the LCST (lower critical solution temperature) transition of pNIPAM are identified. The characteristic vibrations of the CH(3) groups show a gradual reorientation of the isopropyl groups within the pNIPAM film and instantaneous reorientation of the outermost CH(3) groups around 32 degrees C."
s2orc_2,ULTRASONOGRAPHIC DIAGNOSIS OF LIPOFIBROMATOUS HAMARTOMA OF THE MEDIAN NERVE (CASE REPORT),"Lipofibromatous hamartoma (LFH) is an extremely rare benign tumor, which is characterized by an excessive infiltration of the epineurium and perineurium by fibroadipose tissues. A 27-year-old woman was diagnosed with left carpal tunnel syndrome (CTS) due to LFH of the median nerve. LFH was diagnosed by MRI and sonography; the characteristic ultrasonographic feature of LFH showed a good correlation with pathognomonic MRI findings. The median nerve was involved along its course in the forearm; however, the patient needed carpal tunnel release because of severe compression of the median nerve under the flexor retinaculum.Radiologic evaluation of patient with CTS to evaluate probable secondary CTS is recommended."
s2orc_3,Segregation analysis of alcoholism in families ascertained through a pair of male alcoholics.,"To determine the nature of the genetic component controlling liability to alcoholism, complex segregation analysis was performed on 35 multigenerational families each ascertained through a pair of male alcoholics. The results suggest that liability to alcoholism is, in part, controlled by a major effect with or without additional multifactorial effects. Mendelian transmission of this major effect was rejected, as was the hypothesis that the major effect is due to a single major locus. Absence of this major effect, leaving only multifactorial effects, was also rejected. Some sources for the non-Mendelian character of the major effect are suggested, such as a combination of two or more Mendelian loci, the presence of phenocopies, sex-dependent differences in the underlying liability model, or heterogeneity in the alcoholism phenotype. Evidence for and against each is discussed."
s2orc_4,An efficient numerical modeling of the DC resistivity logging: Theory and applications,"The numerical solution of Green’s function for the potential in 2-D arbitrary inhomogeneous media with axial symmetry has been given by use of efficient half-analytical, halfnumerical hybrid method. Then the logging responses of various kinds of the DC resistivity log with axisymmetric excitation have been obtained by using surface integral equation method to match the boundary conditions on the electrodes of the logging sonde. Comparing the results with that obtained by other methods, one can see good precision and efficiency of the given method. Some applications of the numerical modeling have been also discussed."
s2orc_5,Non-Equilibrium Phonon Processes and Degradation in Gigahertz Nanoscale Mechanical Resonators,"Abstract : Nonequilibrium phonon processes and related degradation effects were treated for a Euler-Bernoulli flexural beam undergoing scaling from the micro to the nano spatial regime. For the scaling lengths under consideration, the lowest resonator mode is in the frequency range of 1-10 GHz. In a Euler-Bernoulli-Boltzmann framework, an analysis of the internal phonon dynamics and flow in the flexural beam is conducted, and dissipative losses are evaluated. In limiting cases, two major intrinsic dissipative mechanisms are operative, one due to the diffusive spatial redistribution of phonons resulting in heat transfer and thermoelastic loss, and the other due to the thermalization of the local phonon population distorted by strain resulting in a manifestation of the Akhiezer effect. In the frequency domain of interest,these two loss mechanisms loss their distinctive character with decreased scaling and transition to a unified dissipative process."
s2orc_6,Resource allocation algorithm based on non-cooperative game theory in uplink OFDMA multi-hop relay networks,"Resource allocation issue in uplink OFDMA multi-hop relay networks was investigated.Firstly,with con-straints such as maximum transmission power being imposed,a multi-cell optimization model for resource allocation in uplink OFDMA multi-hop relay networks was formulated.By applying non-cooperative game and pricing theories,the optimization is transformed into the case where power was independently allocated on each sub-channel.The existence and uniqueness of Nash equilibrium for power allocation model which was based on non-cooperative was proven,and accordingly a distributed algorithm was proposed.Simulation results show that,the proposed algorithm can improve the system throughput effectively while profoundly reducing total system transmission power,thus achieving much higher en-ergy efficiency ratio."
s2orc_7,Realistic simulation of camera images of local surface defects in the context of multi-sensor inspection systems,"Industrial automation has developed rapidly in the past decades. Customized fabrications and short production time require flexible and high speed inspection systems. Based on these requirements, optical surface inspection systems (OSIS) as efficient and cheap systems for detecting surface defects and none-defects becomes more and more important. To achieve a high recognition rate, huge amounts of image data of defects need to be stored. We introduce a virtual surface defect rendering method to obtain large amount of defect images. In this paper, the ray tracing methods are applied to realistically simulate camera images in OSIS. We used three different bidirectional reflectance distribution function (BRDF) rendering models to describe the scattering between collimated white light and aluminum materials."
s2orc_8,Serious Bioavailability Problems with a Generic Prolonged-Release Quinidine Gluconate Product,": A recently marketed prolonged-release quinidine gluconate tablet was compared with the innovator's tablet in a single-dose bioavailability study with 12 healthy male subjects. The extent of absorption of quinidine from the new marketed product was only 50 per cent that of the innovator's product. This finding, as well as projections of steady-state plasma concentrations to be expected during multiple-dose administration, indicated a bioequivalence problem with medically significant implications. The data obtained in this study resulted in a Class I recall of the less completely absorbed product by the U.S. Food and Drug Administration."
s2orc_9,Nonlinear electrical properties of lead-lanthanum-titanate thin films deposited by multi-ion-beam reactive sputtering,"The high‐field electrical properties of ferroelectric lead‐lanthanum‐titanate (PLT) thin films deposited by multi‐ion‐beam reactive sputtering are presented. Space‐charge‐limited (SCL) conduction theory incorporating the effects of electron traps is used to explain the current‐density dependence on applied voltage. Three conduction mechanisms, ohmic, SCL, and trap‐filled limited (TFL), were observed with increasing applied potential. Increasing excess PbO content in PLT films increases the absolute current density measured in all three conduction regions and decreases the potential required for the transition between ohmic conduction and SCL conduction. Electron trap density is increased with the addition of La, resulting in increased voltages for the transition between SCL and TFL conduction. Permittivity and polarization hysteresis behavior is interpreted by considering the conduction contributions under linear low‐field conditions and nonlinear high‐field conditions. Hysteresis loop frequency dependenc..."
